#shift stepIter stepRayleigh eig(iter) eig(rayleigh)
243 1000 46 1.99967 2
244 1000 46 1.99966 2
245 1000 46 1.99965 2
246 1000 46 1.99964 2
247 1000 46 1.99963 2
248 1000 46 1.99962 2
249 1000 46 1.99961 2
250 1000 46 1.99961 2
251 1000 46 1.9996 2
252 1000 46 1.99959 2
253 1000 46 1.99958 2
254 1000 46 1.99957 2
255 1000 46 1.99956 2
256 1000 46 1.99955 2
257 1000 46 1.99954 2
258 1000 46 1.99953 2
259 1000 46 1.99952 2
260 1000 46 1.99951 2
261 1000 46 1.99949 2
262 1000 47 1.99948 2
263 1000 47 1.99947 2
264 1000 47 1.99946 2
265 1000 47 1.99945 2
266 1000 47 1.99944 2
267 1000 47 1.99943 2
268 1000 47 1.99941 2
269 1000 47 1.9994 2
270 1000 47 1.99939 2
271 1000 47 1.99938 2
272 1000 47 1.99937 2
273 1000 47 1.99935 2
274 1000 47 1.99934 2
275 1000 47 1.99933 2
276 1000 47 1.99931 2
277 1000 47 1.9993 2
278 1000 47 1.99929 2
279 1000 47 1.99927 2
280 1000 47 1.99926 2
281 1000 47 1.99925 2
282 1000 47 1.99923 2
283 1000 47 1.99922 2
284 1000 47 1.9992 2
285 1000 47 1.99919 2
286 1000 47 1.99917 2
287 1000 47 1.99916 2
288 1000 47 1.99914 2
289 1000 47 1.99913 2
290 1000 47 1.99911 2
291 1000 47 1.9991 2
292 1000 47 1.99908 2
293 1000 47 1.99907 2
294 1000 47 1.99905 2
295 1000 47 1.99904 2
296 1000 47 1.99902 2
297 1000 47 1.999 2
298 1000 47 1.99899 2
299 1000 47 1.99897 2
300 1000 47 1.99895 2
301 1000 47 1.99894 2
302 1000 47 1.99892 2
303 1000 47 1.9989 2
304 1000 47 1.99888 2
305 1000 47 1.99887 2
306 1000 47 1.99885 2
307 1000 47 1.99883 2
308 1000 47 1.99881 2
309 1000 47 1.99879 2
310 1000 47 1.99878 2
311 1000 47 1.99876 2
312 1000 47 1.99874 2
313 1000 47 1.99872 2
314 1000 47 1.9987 2
315 1000 47 1.99868 2
316 1000 47 1.99866 2
317 1000 47 1.99864 2
318 1000 47 1.99862 2
319 1000 47 1.9986 2
320 1000 47 1.99858 2
321 1000 47 1.99856 2
322 1000 47 1.99854 2
323 1000 47 1.99852 2
324 1000 47 1.9985 2
325 1000 47 1.99848 2
326 1000 47 1.99846 2
327 1000 47 1.99844 2
328 1000 47 1.99842 2
329 1000 47 1.9984 2
330 1000 47 1.99838 2
331 1000 47 1.99835 2
332 1000 47 1.99833 2
333 1000 47 1.99831 2
334 1000 47 1.99829 2
335 1000 47 1.99827 2
336 1000 47 1.99824 2
337 1000 47 1.99822 2
338 1000 47 1.9982 2
339 1000 47 1.99818 2
340 1000 47 1.99815 2
341 1000 47 1.99813 2
342 1000 47 1.99811 2
343 1000 47 1.99808 2
344 1000 47 1.99806 2
345 1000 47 1.99804 2
346 1000 47 1.99801 2
347 1000 47 1.99799 2
348 1000 47 1.99797 2
349 1000 47 1.99794 2
350 1000 47 1.99792 2
351 1000 47 1.99789 2
352 1000 47 1.99787 2
353 1000 47 1.99784 2
354 1000 47 1.99782 2
355 1000 47 1.99779 2
356 1000 47 1.99777 2
357 1000 47 1.99774 2
358 1000 47 1.99772 2
359 1000 47 1.99769 2
360 1000 47 1.99767 2
361 1000 47 1.99764 2
362 1000 47 1.99762 2
363 1000 47 1.99759 2
364 1000 47 1.99756 2
365 1000 47 1.99754 2
366 1000 47 1.99751 2
367 1000 47 1.99748 2
368 1000 47 1.99746 2
369 1000 47 1.99743 2
370 1000 47 1.9974 2
371 1000 47 1.99738 2
372 1000 47 1.99735 2
373 1000 47 1.99732 2
374 1000 47 1.9973 2
375 1000 47 1.99727 2
376 1000 47 1.99724 2
377 1000 47 1.99721 2
378 1000 47 1.99718 2
